date,sst,clim_91-20,ano_91-20,status
1979-01-01,20.084,20.238,-0.154,FINAL
1979-01-02,20.081,20.242,-0.161,FINAL
1979-01-03,20.087,20.247,-0.16,FINAL
1979-01-04,20.101,20.252,-0.151,FINAL
1979-01-05,20.116,20.256,-0.14,FINAL
1979-01-06,20.132,20.261,-0.13,FINAL
1979-01-07,20.145,20.266,-0.121,FINAL
1979-01-08,20.153,20.271,-0.118,FINAL
1979-01-09,20.156,20.276,-0.12,FINAL
1979-01-10,20.155,20.281,-0.126,FINAL
1979-01-11,20.152,20.286,-0.134,FINAL
1979-01-12,20.145,20.291,-0.147,FINAL
1979-01-13,20.134,20.297,-0.163,FINAL
1979-01-14,20.126,20.302,-0.176,FINAL
1979-01-15,20.126,20.307,-0.181,FINAL
1979-01-16,20.131,20.313,-0.181,FINAL
1979-01-17,20.136,20.318,-0.183,FINAL
1979-01-18,20.138,20.324,-0.186,FINAL
1979-01-19,20.138,20.329,-0.191,FINAL
1979-01-20,20.14,20.335,-0.195,FINAL
1979-01-21,20.144,20.341,-0.196,FINAL
1979-01-22,20.151,20.346,-0.195,FINAL
1979-01-23,20.162,20.352,-0.19,FINAL
1979-01-24,20.173,20.358,-0.185,FINAL
1979-01-25,20.183,20.364,-0.181,FINAL
1979-01-26,20.193,20.37,-0.176,FINAL
1979-01-27,20.205,20.375,-0.17,FINAL
1979-01-28,20.219,20.381,-0.162,FINAL
1979-01-29,20.235,20.387,-0.152,FINAL
1979-01-30,20.246,20.392,-0.147,FINAL
1979-01-31,20.253,20.398,-0.145,FINAL
1979-02-01,20.256,20.404,-0.147,FINAL
1979-02-02,20.259,20.409,-0.15,FINAL
1979-02-03,20.257,20.415,-0.157,FINAL
1979-02-04,20.254,20.42,-0.166,FINAL
1979-02-05,20.25,20.425,-0.175,FINAL
1979-02-06,20.248,20.43,-0.182,FINAL
1979-02-07,20.25,20.436,-0.185,FINAL
1979-02-08,20.259,20.44,-0.181,FINAL
1979-02-09,20.273,20.445,-0.172,FINAL
1979-02-10,20.288,20.45,-0.162,FINAL
1979-02-11,20.299,20.455,-0.156,FINAL
